ID,Current_Job,Career_Interest,Qualification,Years_of_experience,Industry
724, Social Media Manager,Chemist,"Certified Stage Combatant, Actor's Equity Association Membership",6,Business Products & Services
725, Website Designer and digital marketing ...,Climatologist,"Smithsonian Museum Studies Certificate, Certified Art Appraiser",5,Government Services
726, Marketing Manager ,Ecologist,"Teaching English as a Foreign Language (TEFL), American Translators Association (ATA) Certification",7,Advertising & Marketing
727, graphic designer/digital marketer,Geologist,"Google Cloud Professional Data Engineer, AWS Certified Developer - Associate",10,Financial Services
728, Digital Marketing Manager,Marine Biologist,"Autodesk Certified Professional (AutoCAD), Certified SOLIDWORKS Professional (CSWP)",5,Construction
729, Freelance Graphic Designer,Mathematician,"Certified Medical Laboratory Scientist (MLS), Certified Clinical Research Professional (CCRP)",10,Government Services
730, Digital Marketing Intern ,Meteorologist,"Certified Financial Planner (CFP), Chartered Financial Analyst (CFA)",7,Logistics & Transportation
731, Digital Creator/Marketer,Paleontologist,"Certified LabVIEW Developer (CLD), Cisco Certified Network Associate (CCNA)",10,Logistics & Transportation
732, Digital marketer ,Physicist,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",10,Government Services
733, Digital Marketer/Graphics Designer,Research Scientist,"Google Analytics Individual Qualification (GAIQ), HubSpot Inbound Marketing Certification",4,Media
734, Graphic Designer ,Statistician,"Certified Supply Chain Professional (CSCP), Six Sigma Green Belt (SSGB)",10,Advertising & Marketing
735, Freelance Graphic Designer,Counselor,"Certified Public Manager (CPM), Certified Government Financial Manager (CGFM)",10,Consumer Products & Services
736, Website Developer and designer,Life Coach,"Google Ads Certification, Facebook Blueprint Certification",10,Human Resources
737, UI/UX Designer ,Probation Officer,"United Nations Institute for Training and Research (UNITAR) Certification, Conflict Resolution Training",5,Human Resources
738," Media, growth and marketing lead",Social Worker,"Market Research Society (MRS) Advanced Certificate, Google Analytics Individual Qualification (GAIQ)",9,Business Products & Services
739, Visual Designer & Marketing Associate,Therapist,"Certified in Public Health (CPH), Certified Health Education Specialist (CHES)",10,Education
740, Digital Marketing Manager ,Barber,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",5,Health
741, Social media marketer/Digital Marketer,Carpenter,"Hootsuite Social Marketing Certification, Facebook Blueprint Certification",5,Engineering
742, Digital Marketer ,Electrician,"Certified Economic Development (CEcD), Chartered Financial Analyst (CFA)",4,Telecommunications
743, Digital Marketing Manager,Hairdresser,"Accredited in Public Relations (APR), Crisis Communication Certification",5,Consumer Products & Services
744, Lead Designer ,HVAC Technician,"Certified Global Business Professional (CGBP), Certified International Trade Professional (CITP)",10,Advertising & Marketing
745," Graphic Designer, Digital Marketer",Landscaper,"Certified Nonprofit Professional (CNP), Fundraising Certification",5,Business Products & Services
746, Digital marketer ,Mechanic,"Conflict Resolution Training, Certified International Trade Professional (CITP)",10,Telecommunications
747," Digital Marketer, Graphic Designer & ...",Plumber,"American Marketing Association Professional Certified Marketer (PCM), HubSpot Inbound Marketing Certification",7,Education
748, Graphic Designer ,Welder,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",4,Business Products & Services
749, Digital Marketer ,Athletic Trainer,"Society for Human Resource Management Certified Professional (SHRM-CP), Professional in Human Resources (PHR)",0,Retail
750, Digital Marketing Manager ,Event Planner,"Market Research Society (MRS) Advanced Certificate, Google Analytics Individual Qualification (GAIQ)",6,Advertising & Marketing
751, Online Marketing Manager,Fitness Instructor,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",5,Real Estate
752, Lead Digital Marketing Executive,Flight Attendant,"Certified Supply Chain Professional (CSCP), Six Sigma Green Belt (SSGB)",7,Manufacturing
753, Digital Marketing Manager,Hospitality Manager,"Certified Economic Development (CEcD), Chartered Financial Analyst (CFA)",2,Software
754, Digital Marketing Graduate Specialist,Pilot,"Google Data Analytics Professional Certificate, Microsoft Certified: Azure Data Scientist Associate",2,Health
755, Sales Executive ,Travel Agent,"Lean Startup Certification, Google Analytics Individual Qualification (GAIQ)",5,Software
756, digital marketer ,Illustrator,"Certified in Public Health (CPH), Certified Health Education Specialist (CHES)",7,Manufacturing
757, Content Creator ,Industrial Designer,"AWS Certified Solutions Architect, Microsoft Certified: Azure Developer Associate",8,Advertising & Marketing
758, Web Developer ,Interior Designer,"Cisco Certified Network Associate (CCNA), CompTIA Security+",5,IT System Development
759, Digital Marketing Intern ,Jewelry Designer,Certified Clinical Research Professional (CCRP),5,Food & Beverage
760, Product Designer ,Landscape Architect,"Licensed Professional Counselor (LPC), Certified Mental Health Counselor (CMHC)",10,Construction
761, Freelance Web Developer & ...,Lighting Designer,"Chartered Financial Analyst (CFA), Certified Management Accountant (CMA)",5,IT System Development
762, Digital Marketing Manager,Makeup Artist,Certified SolidWorks Associate (CSWA),3,Retail
763, Digital Marketer/ Graphic and Web Designer,Musician,Microsoft Certified: Azure Fundamentals,6,Software
764, Web Designer ,Music Producer,Google Data Analytics Professional Certificate,10,Business Products & Services
765, Digital Marketing Manager ,Photographer,"Lab Safety Certification (OSHA), Hazardous Waste Operations and Emergency Response Standard (HAZWOPER)",5,Logistics & Transportation
766, Communications Associate ,Public Relations Specialist,"LEED Green Associate, Certified Environmental Professional (CEP)",6,Software
767, Graphic Designer ,Set Designer,"Certified Information Systems Security Professional (CISSP), CompTIA Security+",5,Real Estate
768, Brand Manager ,Songwriter,Biomedical Engineering Certificate,0,Consumer Products & Services
769, Digital Marketer ,Sound Designer,"Project Management Professional (PMP), Certified Government Financial Manager (CGFM)",5,Financial Services
770, Digital Marketing Manager,Special Effects Artist,Teaching English as a Foreign Language (TEFL),10,Real Estate
771, Graphics Designer ,Stylist,"Certified Archivist (CA), Geographic Information Systems Professional (GISP)",5,IT Management
772, Marketing Associate ,Tattoo Artist,"Certified Social Worker (CSW), Certified Nonprofit Professional (CNP)",10,Business Products & Services
773, Marketing Graphic Designer ,Teacher,"Engineer-in-Training (EIT), LEED Accredited Professional (LEED AP)",7,Business Products & Services
774, Social Media Manager ,Urban Planner,"Certified Ethical Hacker (CEH), Project Management Professional (PMP)",7,Environmental Services
775, Product Designer (UI/UX) ,Video Editor,"Teaching English to Speakers of Other Languages (TESOL), American Translators Association (ATA) Certification",5,IT Management
776, Community & Partnerships Manager,Video Game Designer,"National Board Certification (NBCT), Google Certified Educator",8,Business Products & Services
777, Website Designer ,Web Designer,"LEED Accredited Professional (LEED AP), Autodesk Certified Professional (AutoCAD)",10,Construction
778, Co,Writer,"Certified Health Education Specialist (CHES), Certified in Public Health (CPH)",5,Advertising & Marketing
779, Digital marketer ,Accountant,"Certified Mediator, Certified Ethical Hacker (CEH)",10,Real Estate
780, Digital Marketing Team Lead,Actuary,"OSHA 40-Hour HAZWOPER Certification, Professional Geologist (PG)",0,Energy
781, Web Designer ,Auditor,"Associated Press Stylebook Certification, Investigative Reporters and Editors (IRE) Membership",3,Real Estate
782, Member ,Business Analyst,"Registered Dietitian Nutritionist (RDN), Certified Nutrition Support Clinician (CNSC)",5,Business Products & Services
783, Product Designer ,Business Consultant,"Yamaha Music Education System Certification, Berklee College of Music Online Courses",10,Advertising & Marketing
784, Digital Marketing ,Entrepreneur,"Certified Stage Combatant, Actor's Equity Association Membership",7,Advertising & Marketing
785, Designs and Communications Executive,Financial Analyst,"Smithsonian Museum Studies Certificate, Certified Art Appraiser",5,Retail
786, Graphic Designer ,Human Resources Manager,"Leadership in Energy and Environmental Design (LEED) Green Associate, Certified Environmental Professional (CEP)",6,Government Services
787, Producer/Host ,Insurance Agent,"Teaching English as a Foreign Language (TEFL), American Translators Association (ATA) Certification",5,Manufacturing
788, Digital Marketing Specialist ,Investment Banker,"Project Management Professional (PMP), Certified Government Financial Manager (CGFM)",10,Advertising & Marketing
789, Consultant for Education and Digital ...,Loan Officer,"Autodesk Certified Professional (AutoCAD), Certified SOLIDWORKS Professional (CSWP)",7,Government Services
790, Social Media Manager,Marketing Manager,"Certified Medical Laboratory Scientist (MLS), Certified Clinical Research Professional (CCRP)",0,Manufacturing
791, Media Officer ,Market Researcher,"National Certified Counselor (NCC), Certified Cognitive-Behavioral Therapist (CBT)",7,Advertising & Marketing
792, Graphic Designer ,Operations Manager,"Certified Financial Planner (CFP), Chartered Financial Analyst (CFA)",10,Advertising & Marketing
793, Sales And Marketing Specialist ,Project Manager,"Certified LabVIEW Developer (CLD), Cisco Certified Network Associate (CCNA)",10,Advertising & Marketing
794, Covenant University ,Public Relations Specialist,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",10,Food & Beverage
795, Content Creator ,Real Estate Agent,"Google Analytics Individual Qualification (GAIQ), HubSpot Inbound Marketing Certification",5,Logistics & Transportation
796," Yaba College of Technology, Yaba, Lagos",Sales Manager,"Certified Supply Chain Professional (CSCP), Six Sigma Green Belt (SSGB)",5,Business Products & Services
797, Digital Marketing Manager ,Stockbroker,"Certified Public Manager (CPM), Certified Government Financial Manager (CGFM)",5,Software
798, Digital Marketing Manager,Tax Advisor,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",5,Engineering
799, Digital Marketer ,College Professor,"Society for Human Resource Management Certified Professional (SHRM-CP), Professional in Human Resources (PHR)",5,Advertising & Marketing
800, Digital Marketing Specialist ,Curriculum Developer,"Google Ads Certification, Facebook Blueprint Certification",5,Telecommunications
801, CEO,Educational Therapist,"United Nations Institute for Training and Research (UNITAR) Certification, Conflict Resolution Training",10,Engineering
802, Digital Executive ,Guidance Counselor,"Market Research Society (MRS) Advanced Certificate, Google Analytics Individual Qualification (GAIQ)",5,Manufacturing
803, Creative Director ,Instructional Designer,"Certified in Public Health (CPH), Certified Health Education Specialist (CHES)",10,Consumer Products & Services
804, Salesperson ,Language Teacher,"Project Management Professional (PMP), Certified ScrumMaster (CSM)",5,Consumer Products & Services
805, University of Ibadan,Librarian,"Hootsuite Social Marketing Certification, Facebook Blueprint Certification",15,IT System Development
806, Junior Graphic Designer ,Preschool Teacher,"Certified Economic Development (CEcD), Chartered Financial Analyst (CFA)",10,Health
807, Personal Assistant ,School Principal,"Google Data Analytics Professional Certificate, Microsoft Certified: Azure Data Scientist Associate",10,Health
808, Content Writer ,Special Education Teacher,"Accredited in Public Relations (APR), Crisis Communication Certification",8,Business Products & Services
809, Digital Content Creator/Marketer,Teacher,"Certified Global Business Professional (CGBP), Certified International Trade Professional (CITP)",5,Consumer Products & Services
810, Digital Marketing Manager ,Teacher Trainer,"Lean Startup Certification, Google Analytics Individual Qualification (GAIQ)",7,Advertising & Marketing
811, NORAK TECHNOLOGIES LIMITED,Tutor,"Certified Nonprofit Professional (CNP), Fundraising Certification",12,Advertising & Marketing
812, Customer Service Specialist ,Aerospace Engineer,"Conflict Resolution Training, Certified International Trade Professional (CITP)",10,Engineering
813, Zedcrest Group,Biomedical Engineer,"American Marketing Association Professional Certified Marketer (PCM), HubSpot Inbound Marketing Certification",10,Advertising & Marketing
814, Digital Designer ,Chemical Engineer,"Chartered Financial Analyst (CFA), Financial Risk Manager (FRM)",5,Education
815, Brand Designer/Digital marketer,Civil Engineer,"Society for Human Resource Management Certified Professional (SHRM-CP), Professional in Human Resources (PHR)",9,IT System Development
816, Digital Product Manager ,Computer Engineer,"Certified Health Education Specialist (CHES), Certified in Public Health (CPH)",4,Business Products & Services
